"time
References : ['VIout','VQout']
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VIout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VQout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real"
0.0000000000000000 sec,0.000000000000000,0.000000000000000
15.00000000000000 msec,-0.000000000005288,-0.000000000000231
30.00000000000000 msec,-0.001077630068004,0.001609255791443
45.00000000000000 msec,-0.001077630097572,0.001609255790204
60.00000000000000 msec,-0.001077630091698,0.001609255813934
75.00000000000000 msec,-0.001077630103285,0.001609255793735
90.00000000000000 msec,-0.001077630083636,0.001609255806610
105.0000000000000 msec,-0.001077630087560,0.001609255805378
120.0000000000000 msec,-0.001159968800324,0.001550218443499
135.0000000000000 msec,-0.001159968817561,0.001550218429710
150.0000000000000 msec,-0.001159968791826,0.001550218427380
165.0000000000000 msec,-0.001159968809420,0.001550218427342
180.0000000000000 msec,-0.001159968793180,0.001550218447605
195.0000000000000 msec,-0.001159968818013,0.001550218453206
210.0000000000000 msec,-0.001159968808985,0.001550218428731
225.0000000000000 msec,-0.001229990255860,0.001492865226569
240.0000000000000 msec,-0.001229990247637,0.001492865216481
255.0000000000000 msec,-0.001229990265233,0.001492865211031
270.0000000000000 msec,-0.001229990247040,0.001492865214812
284.9999999999999 msec,-0.001229990264055,0.001492865208844
300.0000000000000 msec,-0.001229990258589,0.001492865218646
315.0000000000000 msec,-0.001229990264243,0.001492865215249
329.9999999999999 msec,-0.001278730704913,0.001449586367833
344.9999999999999 msec,-0.001278730724210,0.001449586358926
360.0000000000000 msec,-0.001278730706598,0.001449586348698
375.0000000000000 msec,-0.001278730724971,0.001449586354073
390.0000000000000 msec,-0.001278730721542,0.001449586375188
404.9999999999999 msec,-0.001278730707331,0.001449586345359
420.0000000000000 msec,-0.001303193220207,0.001427069023404
435.0000000000000 msec,-0.001303193211835,0.001427069024858
449.9999999999999 msec,-0.001303193203036,0.001427069021176
464.9999999999999 msec,-0.001303193214396,0.001427069040978
480.0000000000000 msec,-0.001303193199880,0.001427069025184
495.0000000000000 msec,-0.001303193216103,0.001427069029865
510.0000000000000 msec,-0.001303193192530,0.001427069032442
525.0000000000000 msec,-0.001304968453650,0.001425053816864
540.0000000000000 msec,-0.001304968461717,0.001425053816339
554.9999999999999 msec,-0.001304968479328,0.001425053832425
569.9999999999999 msec,-0.001304968468950,0.001425053832484
585.0000000000000 msec,-0.001304968465037,0.001425053818210
600.0000000000000 msec,-0.001304968460871,0.001425053816226
615.0000000000000 msec,-0.001304968484352,0.001425053830210
630.0000000000000 msec,-0.001285004483705,0.001443845357623
645.0000000000000 msec,-0.001285004475835,0.001443845365088
659.9999999999999 msec,-0.001285004477242,0.001443845371745
674.9999999999999 msec,-0.001285004489892,0.001443845372509
689.9999999999999 msec,-0.001285004494317,0.001443845363212
705.0000000000000 msec,-0.001285004475321,0.001443845347223
720.0000000000000 msec,-0.001249674750508,0.001476032485281
735.0000000000000 msec,-0.001249674757213,0.001476032476957
750.0000000000000 msec,-0.001249674763825,0.001476032498041
765.0000000000000 msec,-0.001249674752093,0.001476032488074
780.0000000000000 msec,-0.001249674754722,0.001476032497231
794.9999999999999 msec,-0.001249674747773,0.001476032473952
809.9999999999999 msec,-0.001249674754197,0.001476032494243
824.9999999999999 msec,-0.001197994930384,0.001519608445847
840.0000000000000 msec,-0.001197994902673,0.001519608439098
855.0000000000000 msec,-0.001197994899065,0.001519608441280
870.0000000000000 msec,-0.001197994906403,0.001519608432798
885.0000000000000 msec,-0.001197994905993,0.001519608417680
899.9999999999999 msec,-0.001197994893922,0.001519608450336
914.9999999999999 msec,-0.001197994884894,0.001519608445443
929.9999999999999 msec,-0.001136160547910,0.001568130975505
944.9999999999999 msec,-0.001136160553321,0.001568130984898
960.0000000000000 msec,-0.001136160549892,0.001568130984937
975.0000000000000 msec,-0.001136160555605,0.001568131005204
990.0000000000000 msec,-0.001136160563970,0.001568130979035
1.005000000000000  sec,-0.001136160550211,0.001568130986374
1.020000000000000  sec,-0.001072415887415,0.001614073641408
1.035000000000000  sec,-0.001072415883640,0.001614073647163
1.050000000000000  sec,-0.001072415872784,0.001614073656422
1.065000000000000  sec,-0.001072415884155,0.001614073665865
1.080000000000000  sec,-0.001072415880055,0.001614073654051
1.095000000000000  sec,-0.001072415895052,0.001614073635522
1.110000000000000  sec,-0.001072415900460,0.001614073653355
1.125000000000000  sec,-0.001002712919975,0.001659812605223
1.140000000000000  sec,-0.001002712920818,0.001659812599104
1.155000000000000  sec,-0.001002712906577,0.001659812593899
1.170000000000000  sec,-0.001002712910233,0.001659812598276
1.185000000000000  sec,-0.001002712916339,0.001659812621770
1.200000000000000  sec,-0.001002712923697,0.001659812629429
1.215000000000000  sec,-0.001002712930368,0.001659812598323
1.230000000000000  sec,-0.000935584500745,0.001699775903905
1.245000000000000  sec,-0.000935584508766,0.001699775927942
1.260000000000000  sec,-0.000935584498388,0.001699775912983
1.275000000000000  sec,-0.000935584518495,0.001699775908449
1.290000000000000  sec,-0.000935584530959,0.001699775923360
1.305000000000000  sec,-0.000935584498704,0.001699775918340
1.320000000000000  sec,-0.000879866676937,0.001730291409595
1.335000000000000  sec,-0.000879866683438,0.001730291397106
1.350000000000000  sec,-0.000879866685124,0.001730291422013
1.365000000000000  sec,-0.000879866693922,0.001730291420122
1.380000000000000  sec,-0.000879866705038,0.001730291421198
1.395000000000000  sec,-0.000879866685452,0.001730291396906
1.410000000000000  sec,-0.000879866700556,0.001730291408287
1.425000000000000  sec,-0.000835480421266,0.001752792692099
1.440000000000000  sec,-0.000835480424905,0.001752792661144
1.455000000000000  sec,-0.000835480425861,0.001752792677803
1.470000000000000  sec,-0.000835480428410,0.001752792673549
1.485000000000000  sec,-0.000835480422161,0.001752792642673
1.500000000000000  sec,-0.000835480409871,0.001752792668749
1.515000000000000  sec,-0.000835480437172,0.001752792672363
1.530000000000000  sec,-0.000813071548486,0.001763747046874
1.545000000000000  sec,-0.000813071547870,0.001763747086502
1.560000000000000  sec,-0.000813071555749,0.001763747057914
1.575000000000000  sec,-0.000813071540604,0.001763747075525
1.590000000000000  sec,-0.000813071534821,0.001763747053447
1.605000000000000  sec,-0.000813071557523,0.001763747076362
1.620000000000000  sec,-0.000817948725992,0.001761173047917
1.635000000000000  sec,-0.000817948727242,0.001761173055739
1.650000000000000  sec,-0.000817948726948,0.001761173066193
1.665000000000000  sec,-0.000817948727211,0.001761173045141
1.680000000000000  sec,-0.000817948716364,0.001761173056480
1.695000000000000  sec,-0.000817948714150,0.001761173060837
1.710000000000000  sec,-0.000817948736654,0.001761173037842
1.725000000000000  sec,-0.000851980058513,0.001744587550036
1.740000000000000  sec,-0.000851980076920,0.001744587554926
1.755000000000000  sec,-0.000851980065939,0.001744587565154
1.770000000000000  sec,-0.000851980081312,0.001744587565091
1.785000000000000  sec,-0.000851980069808,0.001744587560825
1.800000000000000  sec,-0.000851980080155,0.001744587559073
1.815000000000000  sec,-0.000851980068267,0.001744587577121
1.830000000000000  sec,-0.000913280902074,0.001712436411785
1.845000000000000  sec,-0.000913280894876,0.001712436439918
1.860000000000000  sec,-0.000913280906971,0.001712436450872
1.875000000000000  sec,-0.000913280890826,0.001712436426205
1.890000000000000  sec,-0.000913280875663,0.001712436425030
1.905000000000000  sec,-0.000913280899210,0.001712436445523
1.920000000000000  sec,-0.000989780783575,0.001667643361845
1.935000000000000  sec,-0.000989780775358,0.001667643332622
1.950000000000000  sec,-0.000989780771899,0.001667643357152
1.965000000000000  sec,-0.000989780777582,0.001667643356557
1.980000000000000  sec,-0.000989780762554,0.001667643347146
1.995000000000000  sec,-0.000989780787365,0.001667643344262
2.010000000000000  sec,-0.000989780760812,0.001667643347589
2.025000000000000  sec,-0.001078237109427,0.001610116197997
2.040000000000000  sec,-0.001078237122093,0.001610116181674
2.055000000000000  sec,-0.001078237099934,0.001610116172176
2.070000000000000  sec,-0.001078237131318,0.001610116195103
2.085000000000000  sec,-0.001078237142010,0.001610116201262
2.100000000000000  sec,-0.001078237136187,0.001610116208403
2.115000000000000  sec,-0.001078237118016,0.001610116187251
2.130000000000000  sec,-0.001162153929869,0.001548319801636
2.145000000000000  sec,-0.001162153924111,0.001548319788436
2.160000000000000  sec,-0.001162153901430,0.001548319807549
2.175000000000000  sec,-0.001162153908966,0.001548319793657
2.190000000000000  sec,-0.001162153910609,0.001548319803454
2.205000000000000  sec,-0.001162153914912,0.001548319792446
2.220000000000000  sec,-0.001228880607738,0.001493387748728
2.235000000000000  sec,-0.001228880595185,0.001493387750499
2.250000000000000  sec,-0.001228880583757,0.001493387744982
2.265000000000000  sec,-0.001228880591488,0.001493387725275
2.280000000000000  sec,-0.001228880565356,0.001493387745615
2.295000000000000  sec,-0.001228880594324,0.001493387740245
2.310000000000000  sec,-0.001228880606930,0.001493387749280
2.325000000000000  sec,-0.001278235891312,0.001449919878947
2.340000000000000  sec,-0.001278235888665,0.001449919879030
2.355000000000000  sec,-0.001278235873465,0.001449919880634
2.370000000000000  sec,-0.001278235869626,0.001449919875867
2.385000000000000  sec,-0.001278235885913,0.001449919856701
2.400000000000000  sec,-0.001278235879199,0.001449919885582
2.415000000000000  sec,-0.001278235879226,0.001449919881350
2.430000000000000  sec,-0.001303443027583,0.001426744566439
2.445000000000000  sec,-0.001303443031543,0.001426744552611
2.460000000000000  sec,-0.001303443038502,0.001426744566200
2.475000000000000  sec,-0.001303443048043,0.001426744556808
2.490000000000000  sec,-0.001303443040665,0.001426744550912
2.505000000000000  sec,-0.001303443036575,0.001426744547769
2.520000000000000  sec,-0.001305171390014,0.001424898198009
2.535000000000000  sec,-0.001305171373377,0.001424898207696
2.550000000000000  sec,-0.001305171389811,0.001424898173279
2.565000000000000  sec,-0.001305171370411,0.001424898196800
2.580000000000000  sec,-0.001305171376701,0.001424898211717
2.595000000000000  sec,-0.001305171364254,0.001424898195362
2.610000000000000  sec,-0.001305171373858,0.001424898205341
2.625000000000000  sec,-0.001285620180303,0.001443146802116
2.640000000000000  sec,-0.001285620172082,0.001443146774756
2.655000000000000  sec,-0.001285620174837,0.001443146783083
